STT,Mã học sinh,Họ và Tên,Lớp,Ngày sinh,HK,ĐĐGtx1,ĐĐGtx2,ĐĐGtx3,ĐĐGtx4,ĐĐGgk,ĐĐGck,"ĐTB 
mhk",Năm học,Môn,Học lực
6120,2502151620,Hồ Hoàng Dũng,6A3,29/11/2011,1,6,5,5,6,6.6,6.8,6.2,2023,Anh,Trung bình
6121,2502151622,Lý Như Lan,6A4,21/10/2011,1,3,6,4,3,4.7,3.1,3.9,2023,Toán,Yếu
6122,2502151622,Lý Như Lan,6A4,21/10/2011,1,3,5,5,3,2.8,4.5,3.9,2023,Lý,Yếu
6123,2502151622,Lý Như Lan,6A4,21/10/2011,1,6,7,7,8,7.0,5.3,6.4,2023,Hóa,Trung bình
6124,2502151622,Lý Như Lan,6A4,21/10/2011,1,2,2,2,5,3.4,3.5,3.1,2023,Anh,Kém
6125,2502151624,Đỗ Ngọc Đạt,6A4,06/03/2011,1,9,7,8,9,6.9,7.3,7.6,2023,Toán,Khá
6126,2502151624,Đỗ Ngọc Đạt,6A4,06/03/2011,1,9,10,10,8,8.2,8.6,8.8,2023,Lý,Giỏi
6127,2502151624,Đỗ Ngọc Đạt,6A4,06/03/2011,1,9,10,9,9,8.4,9.2,9.0,2023,Hóa,Giỏi
6128,2502151624,Đỗ Ngọc Đạt,6A4,06/03/2011,1,10,9,8,9,9.9,8.8,9.1,2023,Anh,Giỏi
6129,2502151626,Nguyễn Mai Trâm,6A4,29/09/2011,1,6,7,5,5,7.3,7.0,6.5,2023,Toán,Khá
6130,2502151626,Nguyễn Mai Trâm,6A4,29/09/2011,1,7,6,7,8,5.4,7.3,6.7,2023,Lý,Khá
6131,2502151626,Nguyễn Mai Trâm,6A4,29/09/2011,1,6,8,7,6,6.7,5.5,6.3,2023,Hóa,Trung bình
6132,2502151626,Nguyễn Mai Trâm,6A4,29/09/2011,1,5,8,5,6,5.0,6.5,5.9,2023,Anh,Trung bình
6133,2502151628,Ngô Duy Tuấn,6A4,03/11/2011,1,3,6,5,6,4.2,4.1,4.5,2023,Toán,Yếu
6134,2502151628,Ngô Duy Tuấn,6A4,03/11/2011,1,7,6,8,8,5.8,5.8,6.4,2023,Lý,Trung bình
6135,2502151628,Ngô Duy Tuấn,6A4,03/11/2011,1,8,9,8,7,6.6,8.2,7.8,2023,Hóa,Khá
6136,2502151628,Ngô Duy Tuấn,6A4,03/11/2011,1,7,5,8,8,6.5,5.3,6.3,2023,Anh,Trung bình
6137,2502151630,Trần Như Mai,6A4,18/01/2011,1,9,7,9,9,7.1,8.7,8.3,2023,Toán,Giỏi
6138,2502151630,Trần Như Mai,6A4,18/01/2011,1,9,10,9,10,9.7,8.9,9.3,2023,Lý,Giỏi
6139,2502151630,Trần Như Mai,6A4,18/01/2011,1,9,9,10,8,8.4,9.6,9.1,2023,Hóa,Giỏi
6140,2502151630,Trần Như Mai,6A4,18/01/2011,1,8,8,9,9,9.5,9.6,9.1,2023,Anh,Giỏi
6141,2502151632,Đỗ Thị Lan,6A4,23/09/2011,1,4,4,2,3,3.5,4.5,3.7,2023,Toán,Yếu
6142,2502151632,Đỗ Thị Lan,6A4,23/09/2011,1,2,6,2,5,4.3,4.0,4.0,2023,Lý,Yếu
6143,2502151632,Đỗ Thị Lan,6A4,23/09/2011,1,5,6,8,6,5.4,6.7,6.2,2023,Hóa,Trung bình
6144,2502151632,Đỗ Thị Lan,6A4,23/09/2011,1,2,6,4,3,2.9,4.0,3.6,2023,Anh,Yếu
6145,2502151634,Lý Quốc Khoa,6A4,18/04/2011,1,8,7,8,5,5.5,7.2,6.7,2023,Toán,Khá
6146,2502151634,Lý Quốc Khoa,6A4,18/04/2011,1,8,9,7,9,7.5,7.9,8.0,2023,Lý,Giỏi
6147,2502151634,Lý Quốc Khoa,6A4,18/04/2011,1,7,7,7,7,5.8,7.2,6.8,2023,Hóa,Khá
6148,2502151634,Lý Quốc Khoa,6A4,18/04/2011,1,5,5,8,7,7.0,7.0,6.7,2023,Anh,Khá
6149,2502151636,Lê Kim Trâm,6A4,03/07/2011,1,8,9,8,8,8.3,7.2,7.9,2023,Toán,Khá
6150,2502151636,Lê Kim Trâm,6A4,03/07/2011,1,8,8,9,8,8.2,8.0,8.2,2023,Lý,Giỏi
6151,2502151636,Lê Kim Trâm,6A4,03/07/2011,1,7,8,7,7,8.0,8.8,7.9,2023,Hóa,Khá
6152,2502151636,Lê Kim Trâm,6A4,03/07/2011,1,7,7,9,8,6.9,7.7,7.5,2023,Anh,Khá
6153,2502151638,Lê Mai Châu,6A4,11/05/2011,1,7,8,8,8,7.2,6.1,7.1,2023,Toán,Khá
6154,2502151638,Lê Mai Châu,6A4,11/05/2011,1,7,7,8,7,7.4,9.0,7.9,2023,Lý,Khá
6155,2502151638,Lê Mai Châu,6A4,11/05/2011,1,5,5,2,5,3.9,4.0,4.1,2023,Hóa,Yếu
6156,2502151638,Lê Mai Châu,6A4,11/05/2011,1,5,7,6,8,5.2,5.1,5.7,2023,Anh,Trung bình
6157,2502151640,Phạm Minh Hà,6A4,28/11/2011,1,8,7,7,6,5.3,6.9,6.6,2023,Toán,Khá
6158,2502151640,Phạm Minh Hà,6A4,28/11/2011,1,7,8,7,5,6.6,5.6,6.3,2023,Lý,Trung bình
6159,2502151640,Phạm Minh Hà,6A4,28/11/2011,1,6,7,5,7,5.5,6.1,6.0,2023,Hóa,Trung bình
6160,2502151640,Phạm Minh Hà,6A4,28/11/2011,1,7,6,7,8,5.1,5.0,5.9,2023,Anh,Trung bình
6161,2502151642,Nguyễn Xuân Minh,6A4,05/03/2011,1,5,6,5,8,5.3,6.6,6.0,2023,Toán,Trung bình
6162,2502151642,Nguyễn Xuân Minh,6A4,05/03/2011,1,5,6,6,8,5.2,5.2,5.7,2023,Lý,Trung bình
6163,2502151642,Nguyễn Xuân Minh,6A4,05/03/2011,1,6,5,8,6,5.2,5.8,5.9,2023,Hóa,Trung bình
6164,2502151642,Nguyễn Xuân Minh,6A4,05/03/2011,1,2,6,2,5,4.3,3.4,3.8,2023,Anh,Yếu
6165,2502151644,Lê Quỳnh Lan,6A4,20/02/2011,1,9,7,7,9,6.6,8.0,7.7,2023,Toán,Khá
6166,2502151644,Lê Quỳnh Lan,6A4,20/02/2011,1,9,8,9,8,8.0,7.3,8.0,2023,Lý,Giỏi
6167,2502151644,Lê Quỳnh Lan,6A4,20/02/2011,1,8,9,10,8,8.7,9.5,9.0,2023,Hóa,Giỏi
6168,2502151644,Lê Quỳnh Lan,6A4,20/02/2011,1,9,7,7,9,6.7,8.6,7.9,2023,Anh,Khá
6169,2502151646,Hoàng Kim Tú,6A4,28/06/2011,1,8,8,7,5,6.2,6.2,6.6,2023,Toán,Khá
6170,2502151646,Hoàng Kim Tú,6A4,28/06/2011,1,5,6,5,8,7.3,6.4,6.4,2023,Lý,Trung bình
6171,2502151646,Hoàng Kim Tú,6A4,28/06/2011,1,5,6,7,6,6.8,7.0,6.5,2023,Hóa,Khá
6172,2502151646,Hoàng Kim Tú,6A4,28/06/2011,1,8,8,6,7,5.9,5.6,6.4,2023,Anh,Trung bình
6173,2502151648,Ngô Thanh Huy,6A4,14/12/2011,1,5,5,4,2,2.7,3.6,3.6,2023,Toán,Yếu
6174,2502151648,Ngô Thanh Huy,6A4,14/12/2011,1,3,4,5,5,4.1,3.0,3.8,2023,Lý,Yếu
6175,2502151648,Ngô Thanh Huy,6A4,14/12/2011,1,5,3,6,2,3.6,3.4,3.7,2023,Hóa,Yếu
6176,2502151648,Ngô Thanh Huy,6A4,14/12/2011,1,4,4,6,3,3.5,3.6,3.9,2023,Anh,Yếu
6177,2502151650,Nguyễn Tấn Lâm,6A4,03/12/2011,1,9,7,8,7,7.0,7.7,7.6,2023,Toán,Khá
6178,2502151650,Nguyễn Tấn Lâm,6A4,03/12/2011,1,7,7,8,8,6.5,7.9,7.4,2023,Lý,Khá
6179,2502151650,Nguyễn Tấn Lâm,6A4,03/12/2011,1,8,8,7,8,5.8,6.9,7.0,2023,Hóa,Khá
6180,2502151650,Nguyễn Tấn Lâm,6A4,03/12/2011,1,8,9,8,8,7.9,8.1,8.1,2023,Anh,Giỏi
6181,2502151652,Bùi Thanh Bách,6A4,01/07/2011,1,5,8,6,6,5.3,5.3,5.7,2023,Toán,Trung bình
6182,2502151652,Bùi Thanh Bách,6A4,01/07/2011,1,7,7,8,8,5.7,5.1,6.3,2023,Lý,Trung bình
6183,2502151652,Bùi Thanh Bách,6A4,01/07/2011,1,7,5,6,5,5.9,5.5,5.7,2023,Hóa,Trung bình
6184,2502151652,Bùi Thanh Bách,6A4,01/07/2011,1,8,7,5,8,5.8,6.0,6.4,2023,Anh,Trung bình
6185,2502151654,Dương Kiều Ngọc,6A4,14/02/2011,1,6,5,3,6,3.7,2.8,4.0,2023,Toán,Yếu
6186,2502151654,Dương Kiều Ngọc,6A4,14/02/2011,1,5,5,2,3,3.3,2.5,3.2,2023,Lý,Kém
6187,2502151654,Dương Kiều Ngọc,6A4,14/02/2011,1,6,6,7,5,5.1,5.9,5.8,2023,Hóa,Trung bình
6188,2502151654,Dương Kiều Ngọc,6A4,14/02/2011,1,8,6,8,8,7.1,5.9,6.9,2023,Anh,Khá
6189,2502151656,Trần Thanh Chi,6A4,27/05/2011,1,6,5,8,8,6.6,7.2,6.9,2023,Toán,Khá
6190,2502151656,Trần Thanh Chi,6A4,27/05/2011,1,6,6,8,8,7.1,6.2,6.8,2023,Lý,Khá
6191,2502151656,Trần Thanh Chi,6A4,27/05/2011,1,7,7,5,5,7.2,7.2,6.7,2023,Hóa,Khá
6192,2502151656,Trần Thanh Chi,6A4,27/05/2011,1,7,6,8,5,6.9,6.9,6.7,2023,Anh,Khá
6193,2502151658,Hồ Thanh Tú,6A4,17/12/2011,1,6,3,2,2,3.0,4.8,3.7,2023,Toán,Yếu
6194,2502151658,Hồ Thanh Tú,6A4,17/12/2011,1,4,2,6,3,3.3,4.3,3.8,2023,Lý,Yếu
6195,2502151658,Hồ Thanh Tú,6A4,17/12/2011,1,3,5,2,5,3.0,4.2,3.7,2023,Hóa,Yếu
6196,2502151658,Hồ Thanh Tú,6A4,17/12/2011,1,3,2,3,2,4.2,3.3,3.1,2023,Anh,Kém
6197,2502151660,Hồ Thị Yến,6A4,26/06/2011,1,8,8,8,9,7.2,8.7,8.2,2023,Toán,Giỏi
6198,2502151660,Hồ Thị Yến,6A4,26/06/2011,1,9,8,8,9,8.1,8.0,8.2,2023,Lý,Giỏi
6199,2502151660,Hồ Thị Yến,6A4,26/06/2011,1,9,9,8,9,7.6,9.0,8.6,2023,Hóa,Giỏi
6200,2502151660,Hồ Thị Yến,6A4,26/06/2011,1,8,9,9,9,8.0,8.2,8.4,2023,Anh,Giỏi
6201,2502151662,Bùi Thị Hoa,6A4,28/03/2011,1,7,8,8,5,5.2,7.2,6.7,2023,Toán,Khá
6202,2502151662,Bùi Thị Hoa,6A4,28/03/2011,1,5,8,7,8,5.2,7.2,6.7,2023,Lý,Khá
6203,2502151662,Bùi Thị Hoa,6A4,28/03/2011,1,5,8,6,6,6.6,6.4,6.4,2023,Hóa,Trung bình
6204,2502151662,Bùi Thị Hoa,6A4,28/03/2011,1,8,7,7,9,8.2,8.9,8.2,2023,Anh,Giỏi
6205,2502151664,Nguyễn Mai Tú,6A4,11/07/2011,1,3,3,5,6,4.9,3.2,4.0,2023,Toán,Yếu
6206,2502151664,Nguyễn Mai Tú,6A4,11/07/2011,1,5,6,6,6,3.8,2.4,4.2,2023,Lý,Yếu
6207,2502151664,Nguyễn Mai Tú,6A4,11/07/2011,1,2,3,3,5,4.8,3.0,3.5,2023,Hóa,Yếu
6208,2502151664,Nguyễn Mai Tú,6A4,11/07/2011,1,3,2,4,3,3.2,2.3,2.8,2023,Anh,Kém
6209,2502151666,Hoàng Hồng Tú,6A4,20/04/2011,1,8,8,10,9,10.0,9.1,9.1,2023,Toán,Giỏi
6210,2502151666,Hoàng Hồng Tú,6A4,20/04/2011,1,8,8,8,9,8.4,9.3,8.6,2023,Lý,Giỏi
6211,2502151666,Hoàng Hồng Tú,6A4,20/04/2011,1,10,9,9,9,8.1,9.6,9.1,2023,Hóa,Giỏi
6212,2502151666,Hoàng Hồng Tú,6A4,20/04/2011,1,10,10,9,10,8.1,8.5,9.0,2023,Anh,Giỏi
6213,2502151668,Đặng Thị Châu,6A4,07/09/2011,1,8,9,9,9,6.8,8.4,8.2,2023,Toán,Giỏi
6214,2502151668,Đặng Thị Châu,6A4,07/09/2011,1,9,8,9,9,8.4,9.9,9.1,2023,Lý,Giỏi
6215,2502151668,Đặng Thị Châu,6A4,07/09/2011,1,10,9,9,8,8.3,9.6,9.0,2023,Hóa,Giỏi
6216,2502151668,Đặng Thị Châu,6A4,07/09/2011,1,8,8,8,8,6.8,8.9,8.0,2023,Anh,Giỏi
6217,2502151670,Hồ Minh Trung,6A4,21/02/2011,1,7,8,8,9,7.1,8.5,8.0,2023,Toán,Giỏi
6218,2502151670,Hồ Minh Trung,6A4,21/02/2011,1,8,9,7,7,7.2,7.4,7.5,2023,Lý,Khá
6219,2502151670,Hồ Minh Trung,6A4,21/02/2011,1,9,9,9,7,7.9,7.6,8.1,2023,Hóa,Giỏi
6220,2502151670,Hồ Minh Trung,6A4,21/02/2011,1,9,9,9,9,8.2,7.5,8.3,2023,Anh,Giỏi
6221,2502151672,Nguyễn Thanh Mai,6A4,22/07/2011,1,7,7,7,7,7.5,7.7,7.3,2023,Toán,Khá
6222,2502151672,Nguyễn Thanh Mai,6A4,22/07/2011,1,7,8,7,7,8.2,7.6,7.6,2023,Lý,Khá
6223,2502151672,Nguyễn Thanh Mai,6A4,22/07/2011,1,9,8,7,7,7.3,7.5,7.6,2023,Hóa,Khá
6224,2502151672,Nguyễn Thanh Mai,6A4,22/07/2011,1,7,8,9,7,6.9,7.4,7.4,2023,Anh,Khá
6225,2502151674,Đỗ Cát Thảo,6A4,11/08/2011,1,10,8,9,8,8.6,9.4,8.9,2023,Toán,Giỏi
6226,2502151674,Đỗ Cát Thảo,6A4,11/08/2011,1,8,10,10,9,9.7,9.1,9.3,2023,Lý,Giỏi
6227,2502151674,Đỗ Cát Thảo,6A4,11/08/2011,1,7,8,8,9,8.2,8.3,8.1,2023,Hóa,Giỏi
6228,2502151674,Đỗ Cát Thảo,6A4,11/08/2011,1,10,10,9,10,8.3,9.9,9.5,2023,Anh,Giỏi
6229,2502151676,Vũ Ngọc Hoàng,6A4,24/03/2010,1,6,5,5,5,6.2,6.2,5.8,2023,Toán,Trung bình
6230,2502151676,Vũ Ngọc Hoàng,6A4,24/03/2010,1,7,6,5,7,7.2,7.3,6.8,2023,Lý,Khá
6231,2502151676,Vũ Ngọc Hoàng,6A4,24/03/2010,1,7,5,8,8,5.6,5.6,6.2,2023,Hóa,Trung bình
6232,2502151676,Vũ Ngọc Hoàng,6A4,24/03/2010,1,4,2,4,6,3.5,2.2,3.3,2023,Anh,Kém
6233,2502151678,Ngô Trúc Quỳnh,6A4,24/07/2011,1,8,7,5,8,6.0,6.2,6.5,2023,Toán,Khá
6234,2502151678,Ngô Trúc Quỳnh,6A4,24/07/2011,1,7,7,8,5,7.5,5.8,6.6,2023,Lý,Khá
6235,2502151678,Ngô Trúc Quỳnh,6A4,24/07/2011,1,8,8,6,6,6.1,5.9,6.4,2023,Hóa,Trung bình
6236,2502151678,Ngô Trúc Quỳnh,6A4,24/07/2011,1,8,8,7,9,8.3,7.9,8.0,2023,Anh,Giỏi
6237,2502151680,Lê Thanh Hà,6A4,17/12/2011,1,7,7,9,9,7.6,7.4,7.7,2023,Toán,Khá
6238,2502151680,Lê Thanh Hà,6A4,17/12/2011,1,9,9,9,7,7.5,8.4,8.2,2023,Lý,Giỏi
6239,2502151680,Lê Thanh Hà,6A4,17/12/2011,1,8,7,9,8,7.8,7.0,7.6,2023,Hóa,Khá
6240,2502151680,Lê Thanh Hà,6A4,17/12/2011,1,7,9,8,9,8.2,8.5,8.3,2023,Anh,Giỏi
6241,2502151682,Trần Hoàng Đạt,6A5,20/03/2011,1,7,7,7,6,6.1,7.5,6.9,2023,Toán,Khá
6242,2502151682,Trần Hoàng Đạt,6A5,20/03/2011,1,7,6,5,5,5.5,6.4,5.9,2023,Lý,Trung bình
6243,2502151682,Trần Hoàng Đạt,6A5,20/03/2011,1,6,2,5,4,3.6,4.9,4.3,2023,Hóa,Yếu
6244,2502151682,Trần Hoàng Đạt,6A5,20/03/2011,1,7,5,8,7,6.5,6.3,6.5,2023,Anh,Khá
6245,2502151684,Dương Thanh Khang,6A5,22/02/2011,1,7,6,6,5,5.5,6.5,6.1,2023,Toán,Trung bình
6246,2502151684,Dương Thanh Khang,6A5,22/02/2011,1,6,8,8,8,5.1,6.7,6.7,2023,Lý,Khá
6247,2502151684,Dương Thanh Khang,6A5,22/02/2011,1,8,7,7,8,6.3,7.0,7.1,2023,Hóa,Khá
6248,2502151684,Dương Thanh Khang,6A5,22/02/2011,1,7,7,8,8,7.2,5.5,6.8,2023,Anh,Khá
6249,2502151686,Phạm Ngọc Quỳnh,6A5,21/05/2011,1,6,3,4,5,3.2,2.1,3.4,2023,Toán,Kém
6250,2502151686,Phạm Ngọc Quỳnh,6A5,21/05/2011,1,6,2,3,3,2.9,3.0,3.2,2023,Lý,Kém
6251,2502151686,Phạm Ngọc Quỳnh,6A5,21/05/2011,1,5,4,2,4,2.7,2.5,3.1,2023,Hóa,Kém
6252,2502151686,Phạm Ngọc Quỳnh,6A5,21/05/2011,1,8,7,6,7,6.8,5.0,6.3,2023,Anh,Trung bình
6253,2502151688,Vũ Hải Sơn,6A5,29/04/2011,1,8,8,8,9,7.8,7.9,8.0,2023,Toán,Giỏi
6254,2502151688,Vũ Hải Sơn,6A5,29/04/2011,1,5,7,6,8,6.1,5.4,6.0,2023,Lý,Trung bình
6255,2502151688,Vũ Hải Sơn,6A5,29/04/2011,1,9,8,8,8,7.4,7.4,7.8,2023,Hóa,Khá
6256,2502151688,Vũ Hải Sơn,6A5,29/04/2011,1,9,7,9,9,6.6,8.9,8.2,2023,Anh,Giỏi
6257,2502151690,Phạm Quốc Hùng,6A5,01/01/2011,1,8,8,8,9,8.6,9.7,8.8,2023,Toán,Giỏi
6258,2502151690,Phạm Quốc Hùng,6A5,01/01/2011,1,10,10,10,9,8.5,9.4,9.4,2023,Lý,Giỏi
6259,2502151690,Phạm Quốc Hùng,6A5,01/01/2011,1,10,10,8,10,9.2,9.1,9.3,2023,Hóa,Giỏi
6260,2502151690,Phạm Quốc Hùng,6A5,01/01/2011,1,9,10,8,10,9.7,9.7,9.5,2023,Anh,Giỏi
6261,2502151692,Lê Hữu Phúc,6A5,05/06/2011,1,10,8,10,8,8.5,8.8,8.8,2023,Toán,Giỏi
6262,2502151692,Lê Hữu Phúc,6A5,05/06/2011,1,8,10,9,9,9.1,8.8,9.0,2023,Lý,Giỏi
6263,2502151692,Lê Hữu Phúc,6A5,05/06/2011,1,10,9,10,10,9.6,8.7,9.4,2023,Hóa,Giỏi
6264,2502151692,Lê Hữu Phúc,6A5,05/06/2011,1,9,7,8,7,7.6,8.4,7.9,2023,Anh,Khá
6265,2502151694,Ngô Quốc Kiệt,6A5,10/07/2011,1,9,7,8,8,6.9,7.3,7.5,2023,Toán,Khá
6266,2502151694,Ngô Quốc Kiệt,6A5,10/07/2011,1,8,7,8,9,7.7,8.4,8.1,2023,Lý,Giỏi
6267,2502151694,Ngô Quốc Kiệt,6A5,10/07/2011,1,10,8,9,10,9.9,8.8,9.2,2023,Hóa,Giỏi
6268,2502151694,Ngô Quốc Kiệt,6A5,10/07/2011,1,10,9,8,8,9.2,9.3,9.0,2023,Anh,Giỏi
6269,2502151696,Lý Tấn Khang,6A5,17/08/2011,1,8,7,8,5,6.7,7.3,7.0,2023,Toán,Khá
6270,2502151696,Lý Tấn Khang,6A5,17/08/2011,1,4,3,6,6,4.3,2.2,3.8,2023,Lý,Yếu
6271,2502151696,Lý Tấn Khang,6A5,17/08/2011,1,5,5,3,3,3.5,3.9,3.9,2023,Hóa,Yếu
6272,2502151696,Lý Tấn Khang,6A5,17/08/2011,1,3,6,2,2,3.6,3.3,3.3,2023,Anh,Kém
6273,2502151698,Phạm Như Quỳnh,6A5,09/04/2011,1,10,9,10,9,9.9,9.5,9.6,2023,Toán,Giỏi
6274,2502151698,Phạm Như Quỳnh,6A5,09/04/2011,1,8,10,10,9,8.2,10.0,9.3,2023,Lý,Giỏi
6275,2502151698,Phạm Như Quỳnh,6A5,09/04/2011,1,10,8,9,10,9.2,8.9,9.1,2023,Hóa,Giỏi
6276,2502151698,Phạm Như Quỳnh,6A5,09/04/2011,1,9,10,10,10,8.5,8.5,9.1,2023,Anh,Giỏi
6277,2502151700,Phan Khánh Châu,6A5,02/03/2011,1,6,8,7,5,6.7,5.4,6.2,2023,Toán,Trung bình
6278,2502151700,Phan Khánh Châu,6A5,02/03/2011,1,4,3,5,2,2.6,2.7,3.0,2023,Lý,Kém
6279,2502151700,Phan Khánh Châu,6A5,02/03/2011,1,3,4,6,5,3.7,3.2,3.9,2023,Hóa,Yếu
6280,2502151700,Phan Khánh Châu,6A5,02/03/2011,1,2,6,6,4,4.4,2.3,3.7,2023,Anh,Yếu
6281,2502151702,Bùi Hữu Nam,6A5,17/10/2011,1,10,9,9,8,8.4,9.4,9.0,2023,Toán,Giỏi
6282,2502151702,Bùi Hữu Nam,6A5,17/10/2011,1,8,9,8,9,9.9,8.8,8.9,2023,Lý,Giỏi
6283,2502151702,Bùi Hữu Nam,6A5,17/10/2011,1,9,9,8,10,9.1,9.2,9.1,2023,Hóa,Giỏi
6284,2502151702,Bùi Hữu Nam,6A5,17/10/2011,1,8,9,10,10,9.0,8.6,9.0,2023,Anh,Giỏi
6285,2502151704,Đặng Ngọc Thảo,6A5,18/09/2011,1,8,7,9,9,7.9,8.7,8.3,2023,Toán,Giỏi
6286,2502151704,Đặng Ngọc Thảo,6A5,18/09/2011,1,9,9,9,9,7.2,8.5,8.4,2023,Lý,Giỏi
6287,2502151704,Đặng Ngọc Thảo,6A5,18/09/2011,1,7,7,9,9,8.1,8.8,8.3,2023,Hóa,Giỏi
6288,2502151704,Đặng Ngọc Thảo,6A5,18/09/2011,1,8,8,9,9,7.6,8.6,8.3,2023,Anh,Giỏi
6289,2502151706,Phạm Xuân Anh,6A5,20/09/2011,1,7,7,5,7,5.2,5.7,5.9,2023,Toán,Trung bình
6290,2502151706,Phạm Xuân Anh,6A5,20/09/2011,1,5,7,8,6,5.9,6.5,6.4,2023,Lý,Trung bình
6291,2502151706,Phạm Xuân Anh,6A5,20/09/2011,1,7,7,6,7,7.4,5.8,6.6,2023,Hóa,Khá
6292,2502151706,Phạm Xuân Anh,6A5,20/09/2011,1,8,7,8,5,6.8,6.2,6.7,2023,Anh,Khá
6293,2502151708,Phạm Thị Trâm,6A5,21/01/2011,1,8,8,6,6,5.4,6.7,6.5,2023,Toán,Khá
6294,2502151708,Phạm Thị Trâm,6A5,21/01/2011,1,7,8,5,7,7.3,5.6,6.5,2023,Lý,Khá
6295,2502151708,Phạm Thị Trâm,6A5,21/01/2011,1,7,7,7,8,6.5,7.9,7.3,2023,Hóa,Khá
6296,2502151708,Phạm Thị Trâm,6A5,21/01/2011,1,7,5,8,8,7.0,7.5,7.2,2023,Anh,Khá
6297,2502151710,Dương Duy Đông,6A5,29/11/2011,1,9,8,9,8,7.9,7.5,8.0,2023,Toán,Giỏi
6298,2502151710,Dương Duy Đông,6A5,29/11/2011,1,9,9,7,8,6.7,7.7,7.7,2023,Lý,Khá
6299,2502151710,Dương Duy Đông,6A5,29/11/2011,1,8,5,5,8,6.3,7.2,6.7,2023,Hóa,Khá
6300,2502151710,Dương Duy Đông,6A5,29/11/2011,1,7,7,8,8,8.2,7.1,7.5,2023,Anh,Khá
6301,2502151712,Bùi Hữu Hoàng,6A5,16/11/2012,1,8,5,7,7,6.3,7.3,6.8,2023,Toán,Khá
6302,2502151712,Bùi Hữu Hoàng,6A5,16/11/2012,1,6,6,6,7,5.6,5.9,6.0,2023,Lý,Trung bình
6303,2502151712,Bùi Hữu Hoàng,6A5,16/11/2012,1,8,7,6,6,5.5,5.2,6.0,2023,Hóa,Trung bình
6304,2502151712,Bùi Hữu Hoàng,6A5,16/11/2012,1,7,7,5,6,6.6,6.9,6.5,2023,Anh,Khá
6305,2502151714,Đặng Trúc Chi,6A5,19/12/2011,1,9,8,9,7,8.3,7.8,8.1,2023,Toán,Giỏi
6306,2502151714,Đặng Trúc Chi,6A5,19/12/2011,1,9,7,7,7,7.0,7.2,7.3,2023,Lý,Khá
6307,2502151714,Đặng Trúc Chi,6A5,19/12/2011,1,8,9,8,9,8.3,8.0,8.3,2023,Hóa,Giỏi
6308,2502151714,Đặng Trúc Chi,6A5,19/12/2011,1,8,9,9,9,8.0,8.2,8.4,2023,Anh,Giỏi
6309,2502151716,Phạm Khánh Mai,6A5,19/11/2011,1,5,5,8,6,6.0,5.3,5.8,2023,Toán,Trung bình
6310,2502151716,Phạm Khánh Mai,6A5,19/11/2011,1,5,6,8,7,5.1,7.0,6.4,2023,Lý,Trung bình
6311,2502151716,Phạm Khánh Mai,6A5,19/11/2011,1,5,5,8,6,7.5,6.7,6.6,2023,Hóa,Khá
6312,2502151716,Phạm Khánh Mai,6A5,19/11/2011,1,6,6,5,7,5.8,6.4,6.1,2023,Anh,Trung bình
6313,2502151718,Võ Minh Bách,6A5,01/04/2011,1,9,9,9,9,8.3,7.8,8.4,2023,Toán,Giỏi
6314,2502151718,Võ Minh Bách,6A5,01/04/2011,1,9,9,7,7,8.1,7.4,7.8,2023,Lý,Khá
6315,2502151718,Võ Minh Bách,6A5,01/04/2011,1,8,7,8,7,6.6,7.7,7.4,2023,Hóa,Khá
6316,2502151718,Võ Minh Bách,6A5,01/04/2011,1,9,9,8,10,9.9,9.6,9.4,2023,Anh,Giỏi
6317,2502151720,Dương Mai Hoa,6A5,15/03/2011,1,10,8,8,10,8.8,8.9,8.9,2023,Toán,Giỏi
6318,2502151720,Dương Mai Hoa,6A5,15/03/2011,1,10,10,9,10,10.0,9.4,9.7,2023,Lý,Giỏi
6319,2502151720,Dương Mai Hoa,6A5,15/03/2011,1,9,9,10,10,8.1,10.0,9.4,2023,Hóa,Giỏi
6320,2502151720,Dương Mai Hoa,6A5,15/03/2011,1,8,7,9,7,7.6,8.9,8.1,2023,Anh,Giỏi
6321,2502151722,Hồ Quỳnh Anh,6A5,13/07/2011,1,9,9,9,9,8.1,9.7,9.0,2023,Toán,Giỏi
6322,2502151722,Hồ Quỳnh Anh,6A5,13/07/2011,1,8,9,7,9,8.4,7.5,8.0,2023,Lý,Giỏi
6323,2502151722,Hồ Quỳnh Anh,6A5,13/07/2011,1,8,8,9,8,6.6,7.8,7.7,2023,Hóa,Khá
6324,2502151722,Hồ Quỳnh Anh,6A5,13/07/2011,1,8,8,8,10,8.1,9.1,8.6,2023,Anh,Giỏi
6325,2502151724,Hoàng Thanh Hoa,6A5,05/01/2011,1,5,7,7,8,7.2,5.9,6.6,2023,Toán,Khá
6326,2502151724,Hoàng Thanh Hoa,6A5,05/01/2011,1,2,3,3,4,2.6,3.2,3.0,2023,Lý,Kém
6327,2502151724,Hoàng Thanh Hoa,6A5,05/01/2011,1,4,5,5,2,4.6,4.5,4.3,2023,Hóa,Yếu
6328,2502151724,Hoàng Thanh Hoa,6A5,05/01/2011,1,2,4,6,2,4.6,4.6,4.1,2023,Anh,Yếu
6329,2502151726,Võ Hoàng Kiệt,6A5,25/03/2011,1,9,8,9,8,7.4,8.0,8.1,2023,Toán,Giỏi
6330,2502151726,Võ Hoàng Kiệt,6A5,25/03/2011,1,9,7,8,9,7.9,7.5,7.9,2023,Lý,Khá
